entity_id,score,label_value,race,sex,age_cat
5556,0.8,1,African-American,Male,Greater than 45
5297,0.8,1,African-American,Female,25 - 45
1688,0.8,1,African-American,Male,Less than 25
9550,0.8,1,African-American,Male,Greater than 45
5389,0.8,0,African-American,Male,Less than 25
1672,0.8,0,African-American,Female,Less than 25
6207,0.8,1,African-American,Male,25 - 45
10897,0.8,0,Caucasian,Male,25 - 45
51,0.8,0,Caucasian,Male,25 - 45
9903,0.8,1,Hispanic,Male,25 - 45
9672,0.8,0,African-American,Male,Greater than 45
5433,0.8,1,African-American,Female,Less than 25
9666,0.8,0,African-American,Male,Less than 25
42,0.8,1,African-American,Male,25 - 45
1314,0.8,1,African-American,Male,25 - 45
1076,0.8,0,Caucasian,Female,Greater than 45
5278,0.8,1,Caucasian,Male,Less than 25
5828,0.8,1,African-American,Male,25 - 45
9297,0.8,0,African-American,Male,Greater than 45
10945,0.8,1,African-American,Male,Less than 25
5204,0.8,0,African-American,Female,25 - 45
9536,0.8,1,African-American,Female,25 - 45
1250,0.8,1,African-American,Male,25 - 45
6219,0.8,0,African-American,Male,25 - 45
5996,0.8,1,African-American,Male,25 - 45
10859,0.8,0,African-American,Female,25 - 45
1433,0.8,0,African-American,Male,Less than 25
10982,0.8,0,Caucasian,Male,Less than 25
1696,0.8,0,Hispanic,Female,25 - 45
5388,0.8,1,Caucasian,Male,25 - 45
9674,0.8,1,Caucasian,Male,Less than 25
9788,0.8,0,African-American,Male,Greater than 45
5122,0.8,1,African-American,Male,Less than 25
10888,0.8,1,African-American,Female,25 - 45
5670,0.8,1,Caucasian,Male,Less than 25
1505,0.8,1,African-American,Male,Less than 25
5904,0.8,1,African-American,Male,25 - 45
67,0.8,1,African-American,Male,25 - 45
1048,0.8,1,African-American,Male,25 - 45
1239,0.8,1,African-American,Male,25 - 45
5153,0.8,1,African-American,Male,25 - 45
5149,0.8,1,African-American,Male,25 - 45
5978,0.8,0,African-American,Male,25 - 45
9363,0.8,1,African-American,Male,25 - 45
1290,0.8,1,African-American,Male,25 - 45
1103,0.8,0,African-American,Male,Less than 25
5537,0.8,1,African-American,Female,Less than 25
5576,0.8,1,Native American,Male,25 - 45
5539,0.8,1,African-American,Male,25 - 45
9364,0.8,0,African-American,Male,Greater than 45
5930,0.8,1,Caucasian,Female,25 - 45
1282,0.8,0,African-American,Male,Less than 25
5965,0.8,1,Caucasian,Female,Less than 25
5902,0.8,1,African-American,Male,Less than 25
114,0.8,0,Caucasian,Male,Less than 25
9566,0.8,1,Caucasian,Male,Less than 25
142,0.8,1,Caucasian,Male,25 - 45
6107,0.8,0,Caucasian,Female,Less than 25
1463,0.8,1,African-American,Male,25 - 45
1791,0.8,1,African-American,Male,25 - 45
56,0.8,0,African-American,Female,Less than 25
5179,0.8,1,African-American,Male,25 - 45
5873,0.8,1,African-American,Male,25 - 45
1701,0.8,1,African-American,Male,Less than 25
5669,0.8,1,African-American,Male,25 - 45
5380,0.8,1,African-American,Male,25 - 45
5379,0.8,0,African-American,Male,25 - 45
1120,0.8,0,African-American,Male,Less than 25
138,0.8,1,Caucasian,Male,25 - 45
1065,0.8,1,African-American,Male,25 - 45
9626,0.8,1,African-American,Male,25 - 45
6117,0.8,1,African-American,Male,25 - 45
5167,0.8,0,Caucasian,Male,25 - 45
9394,0.8,0,Caucasian,Male,25 - 45
9843,0.8,1,African-American,Male,25 - 45
5614,0.8,1,African-American,Male,25 - 45
1576,0.8,1,African-American,Male,25 - 45
5435,0.8,1,Other,Male,Less than 25
5265,0.8,1,African-American,Male,Less than 25
4979,0.8,1,African-American,Male,25 - 45
1082,0.8,1,African-American,Male,Greater than 45
9483,0.8,1,African-American,Male,25 - 45
5207,0.8,1,Caucasian,Female,25 - 45
5681,0.8,1,African-American,Male,25 - 45
10844,0.8,1,Caucasian,Male,25 - 45
1258,0.8,1,African-American,Male,Greater than 45
1875,0.8,1,Caucasian,Male,25 - 45
5804,0.8,1,African-American,Male,Less than 25
5224,0.8,1,African-American,Male,25 - 45
6260,0.8,1,Caucasian,Male,25 - 45
4999,0.8,1,African-American,Male,25 - 45
5627,0.8,1,African-American,Male,25 - 45
1871,0.8,1,African-American,Female,25 - 45
1606,0.8,0,African-American,Female,25 - 45
6056,0.8,1,Caucasian,Male,25 - 45
6032,0.8,0,African-American,Male,Less than 25
1153,0.8,1,Caucasian,Female,Less than 25
5227,0.8,0,African-American,Male,Greater than 45
5778,0.8,1,Hispanic,Female,Less than 25
9229,0.8,0,African-American,Male,Less than 25
4956,0.8,0,African-American,Male,25 - 45
5554,0.8,0,African-American,Male,25 - 45
6048,0.8,0,African-American,Male,25 - 45
178,0.8,1,African-American,Male,25 - 45
9984,0.8,0,African-American,Male,Less than 25
1624,0.8,1,African-American,Male,Less than 25
9225,0.8,1,African-American,Male,25 - 45
4964,0.8,1,African-American,Male,25 - 45
9739,0.8,1,African-American,Male,Greater than 45
5759,0.8,0,African-American,Male,25 - 45
5489,0.8,1,African-American,Male,Less than 25
9497,0.8,0,African-American,Male,25 - 45
1329,0.8,1,Caucasian,Male,Less than 25
6044,0.8,1,African-American,Male,Less than 25
1893,0.8,0,Caucasian,Male,Less than 25
5485,0.8,1,African-American,Male,Less than 25
5814,0.8,1,Caucasian,Male,25 - 45
5932,0.8,1,Caucasian,Male,25 - 45
1254,0.8,0,African-American,Male,25 - 45
6075,0.8,1,African-American,Male,25 - 45
9443,0.8,1,African-American,Male,25 - 45
5,0.8,0,African-American,Male,Less than 25
1861,0.8,1,African-American,Male,25 - 45
5014,0.8,1,African-American,Male,25 - 45
1255,0.8,1,African-American,Male,25 - 45
9526,0.8,0,Caucasian,Female,Less than 25
9262,0.8,0,African-American,Male,25 - 45
9442,0.8,1,African-American,Male,25 - 45
5003,0.8,1,African-American,Male,25 - 45
1318,0.8,1,African-American,Male,25 - 45
1664,0.8,0,Caucasian,Male,25 - 45
9529,0.8,1,African-American,Male,25 - 45
6014,0.8,1,Caucasian,Male,25 - 45
7484,0.7,1,African-American,Female,25 - 45
1280,0.7,1,Caucasian,Male,25 - 45
1260,0.7,1,African-American,Male,Greater than 45
2732,0.7,1,African-American,Male,Greater than 45
5321,0.7,1,Caucasian,Female,Less than 25
9970,0.7,1,African-American,Male,25 - 45
2574,0.7,0,Caucasian,Male,Less than 25
3684,0.7,1,African-American,Male,25 - 45
5958,0.7,1,African-American,Male,Less than 25
406,0.7,1,African-American,Male,25 - 45
4332,0.7,1,Caucasian,Male,Greater than 45
4165,0.7,0,African-American,Male,Less than 25
10226,0.7,1,African-American,Male,25 - 45
7468,0.7,1,Caucasian,Male,25 - 45
8500,0.7,1,African-American,Male,Less than 25
7082,0.7,0,Hispanic,Male,25 - 45
2762,0.7,1,African-American,Male,Less than 25
9499,0.7,1,African-American,Male,25 - 45
2621,0.7,1,Caucasian,Male,25 - 45
1276,0.7,1,African-American,Male,Less than 25
1535,0.7,1,Hispanic,Male,Less than 25
8409,0.7,1,Hispanic,Male,Less than 25
83,0.7,0,Hispanic,Male,25 - 45
2759,0.7,0,Caucasian,Male,25 - 45
7079,0.7,0,Caucasian,Male,25 - 45
6932,0.7,1,Caucasian,Male,Less than 25
2750,0.7,0,African-American,Male,25 - 45
10480,0.7,1,African-American,Male,Greater than 45
6915,0.7,1,African-American,Male,25 - 45
5942,0.7,1,Caucasian,Male,25 - 45
6005,0.7,0,Caucasian,Male,25 - 45
9805,0.7,1,African-American,Male,25 - 45
9578,0.7,0,African-American,Male,25 - 45
2747,0.7,1,Caucasian,Male,Less than 25
8385,0.7,1,Hispanic,Male,25 - 45
4341,0.7,1,Other,Male,25 - 45
2745,0.7,0,Caucasian,Male,25 - 45
2742,0.7,1,Caucasian,Female,25 - 45
774,0.7,0,African-American,Male,25 - 45
377,0.7,1,Caucasian,Female,Less than 25
10913,0.7,1,African-American,Male,Less than 25
10242,0.7,0,Caucasian,Male,25 - 45
1623,0.7,0,African-American,Male,Greater than 45
1542,0.7,1,African-American,Male,25 - 45
415,0.7,0,African-American,Male,25 - 45
823,0.7,1,African-American,Male,25 - 45
793,0.7,1,African-American,Male,Greater than 45
10205,0.7,1,Hispanic,Male,25 - 45
9552,0.7,1,Hispanic,Male,25 - 45
374,0.7,1,Caucasian,Male,25 - 45
8473,0.7,1,Caucasian,Female,25 - 45
821,0.7,0,African-American,Male,25 - 45
5253,0.7,1,Caucasian,Male,25 - 45
4314,0.7,1,African-American,Male,25 - 45
7033,0.7,0,African-American,Male,Less than 25
798,0.7,1,Caucasian,Male,Greater than 45
7455,0.7,0,African-American,Male,Less than 25
7024,0.7,0,Caucasian,Male,25 - 45
3662,0.7,0,African-American,Male,25 - 45
1607,0.7,1,African-American,Female,25 - 45
7896,0.7,1,African-American,Male,Less than 25
7856,0.7,1,Caucasian,Female,Less than 25
2652,0.7,0,African-American,Male,25 - 45
5693,0.7,1,African-American,Male,25 - 45
2654,0.7,0,African-American,Male,25 - 45
7457,0.7,1,African-American,Male,25 - 45
4238,0.7,1,African-American,Male,25 - 45
6034,0.7,1,Caucasian,Male,Less than 25
2609,0.7,0,African-American,Male,25 - 45
2661,0.7,1,Caucasian,Female,25 - 45
1569,0.7,1,African-American,Female,25 - 45
6946,0.7,1,African-American,Male,Less than 25
5264,0.7,0,Other,Male,Less than 25
3646,0.7,1,Caucasian,Male,25 - 45
3300,0.7,1,Caucasian,Male,Greater than 45
10223,0.7,0,African-American,Male,25 - 45
9561,0.7,1,Caucasian,Male,25 - 45
4171,0.7,0,African-American,Male,Less than 25
5293,0.7,0,African-American,Female,25 - 45
7447,0.7,0,African-American,Female,Less than 25
2707,0.7,0,Caucasian,Male,25 - 45
7045,0.7,1,Caucasian,Male,25 - 45
10468,0.7,1,Native American,Female,25 - 45
2703,0.7,0,African-American,Male,Greater than 45
624,0.7,0,African-American,Female,Less than 25
8418,0.7,0,Caucasian,Male,25 - 45
3669,0.7,1,Caucasian,Female,25 - 45
8421,0.7,0,African-American,Female,Less than 25
4283,0.7,1,African-American,Female,Less than 25
2581,0.7,1,African-American,Male,25 - 45
7901,0.7,1,Caucasian,Male,25 - 45
4257,0.7,1,African-American,Male,25 - 45
180,0.7,0,African-American,Male,25 - 45
6011,0.7,0,Caucasian,Male,Less than 25
4322,0.7,0,Hispanic,Male,25 - 45
8478,0.7,0,Caucasian,Male,25 - 45
2584,0.7,0,African-American,Male,Less than 25
1556,0.7,1,African-American,Male,25 - 45
398,0.7,0,Hispanic,Male,Less than 25
88,0.7,1,African-American,Male,Greater than 45
9509,0.7,1,African-American,Male,25 - 45
8760,0.7,1,African-American,Female,25 - 45
5931,0.7,0,Caucasian,Female,25 - 45
3896,0.7,1,Hispanic,Male,Less than 25
9681,0.7,1,African-American,Male,Less than 25
1408,0.7,1,African-American,Male,25 - 45
5820,0.7,1,Caucasian,Male,Less than 25
696,0.7,1,Native American,Female,25 - 45
9685,0.7,1,African-American,Male,Less than 25
3014,0.7,1,African-American,Male,Less than 25
39,0.7,1,African-American,Male,25 - 45
7981,0.7,0,Caucasian,Male,25 - 45
9687,0.7,0,African-American,Male,25 - 45
7384,0.7,0,African-American,Male,Less than 25
5816,0.7,1,African-American,Male,25 - 45
8134,0.7,1,Caucasian,Male,25 - 45
10954,0.7,0,Caucasian,Female,Less than 25
7989,0.7,1,African-American,Male,Less than 25
7991,0.7,0,African-American,Male,25 - 45
7382,0.7,1,African-American,Male,25 - 45
8126,0.7,1,African-American,Male,25 - 45
3181,0.7,1,Caucasian,Male,Less than 25
7258,0.7,1,African-American,Male,25 - 45
7386,0.7,1,African-American,Male,Less than 25
7916,0.7,0,African-American,Male,25 - 45
709,0.7,1,African-American,Male,25 - 45
5400,0.7,0,African-American,Male,25 - 45
3976,0.7,1,African-American,Male,Greater than 45
3972,0.7,0,Caucasian,Male,25 - 45
10494,0.7,1,African-American,Female,Less than 25
8204,0.7,0,African-American,Male,Greater than 45
5719,0.7,0,African-American,Male,Less than 25
2959,0.7,0,African-American,Male,25 - 45
7231,0.7,0,African-American,Male,25 - 45
1436,0.7,1,African-American,Male,Less than 25
7249,0.7,0,African-American,Female,25 - 45
3212,0.7,1,African-American,Male,25 - 45
644,0.7,1,African-American,Male,Greater than 45
1157,0.7,0,Native American,Male,25 - 45
645,0.7,0,African-American,Male,Less than 25
3204,0.7,0,Other,Male,Less than 25
2977,0.7,0,African-American,Female,Greater than 45
1428,0.7,0,African-American,Male,Less than 25
8182,0.7,0,African-American,Male,Less than 25
7285,0.7,1,African-American,Male,Less than 25
9706,0.7,0,Caucasian,Female,Less than 25
7291,0.7,0,African-American,Male,25 - 45
3794,0.7,1,African-American,Male,Greater than 45
8053,0.7,1,African-American,Male,Less than 25
9738,0.7,0,African-American,Male,25 - 45
5772,0.7,1,Caucasian,Male,25 - 45
3773,0.7,0,Hispanic,Male,Less than 25
495,0.7,0,African-American,Female,25 - 45
3800,0.7,1,African-American,Male,25 - 45
7370,0.7,0,African-American,Male,Greater than 45
1342,0.7,0,African-American,Male,25 - 45
1146,0.7,1,African-American,Male,25 - 45
1379,0.7,1,African-American,Male,Less than 25
7347,0.7,0,African-American,Female,25 - 45
1149,0.7,0,Hispanic,Male,25 - 45
3139,0.7,0,Hispanic,Male,25 - 45
9745,0.7,1,African-American,Male,Less than 25
3144,0.7,1,African-American,Male,Greater than 45
3787,0.7,1,African-American,Male,25 - 45
9746,0.7,0,Hispanic,Male,Less than 25
10509,0.7,0,African-American,Male,25 - 45
1351,0.7,1,African-American,Male,25 - 45
3162,0.7,1,Caucasian,Male,25 - 45
10506,0.7,1,African-American,Male,25 - 45
8002,0.7,0,African-American,Male,Greater than 45
3043,0.7,0,African-American,Male,25 - 45
7992,0.7,1,Caucasian,Male,Greater than 45
1377,0.7,1,African-American,Male,25 - 45
9707,0.7,1,Other,Female,25 - 45
3057,0.7,1,African-American,Male,25 - 45
5811,0.7,1,African-American,Male,Less than 25
5729,0.7,1,Caucasian,Male,Less than 25
3847,0.7,1,African-American,Male,Less than 25
5809,0.7,0,African-American,Male,Greater than 45
3068,0.7,0,African-American,Male,25 - 45
5808,0.7,1,African-American,Male,25 - 45
8085,0.7,1,African-American,Male,Less than 25
8081,0.7,1,Caucasian,Male,25 - 45
7317,0.7,0,African-American,Male,25 - 45
5799,0.7,1,Hispanic,Male,Less than 25
3087,0.7,1,African-American,Male,25 - 45
5740,0.7,1,African-American,Male,25 - 45
7211,0.7,1,African-American,Male,25 - 45
1445,0.7,1,African-American,Male,25 - 45
3980,0.7,1,African-American,Male,25 - 45
7923,0.7,1,Caucasian,Male,Greater than 45
7423,0.7,1,African-American,Male,Greater than 45
64,0.7,1,African-American,Male,25 - 45
7112,0.7,1,African-American,Male,Greater than 45
2556,0.7,0,African-American,Male,Less than 25
2828,0.7,1,African-American,Female,Less than 25
3710,0.7,1,African-American,Male,Less than 25
7125,0.7,0,African-American,Female,25 - 45
7419,0.7,0,African-American,Male,Less than 25
7148,0.7,0,Hispanic,Male,Greater than 45
5883,0.7,1,Caucasian,Female,25 - 45
8308,0.7,1,African-American,Male,25 - 45
5901,0.7,1,Hispanic,Male,Less than 25
2845,0.7,1,Caucasian,Male,Greater than 45
10545,0.7,0,African-American,Male,25 - 45
3716,0.7,0,African-American,Male,Greater than 45
1162,0.7,1,African-American,Male,25 - 45
5887,0.7,1,African-American,Male,Less than 25
10277,0.7,0,African-American,Male,25 - 45
760,0.7,1,African-American,Male,25 - 45
10554,0.7,1,African-American,Male,Less than 25
10977,0.7,1,African-American,Male,25 - 45
5346,0.7,0,African-American,Male,25 - 45
8361,0.7,0,African-American,Male,25 - 45
2773,0.7,1,African-American,Female,Greater than 45
2775,0.7,1,Caucasian,Male,25 - 45
5918,0.7,1,African-American,Male,25 - 45
9584,0.7,1,African-American,Female,Greater than 45
10386,0.7,0,Caucasian,Male,Less than 25
7098,0.7,1,African-American,Male,Less than 25
1529,0.7,1,African-American,Female,25 - 45
5334,0.7,0,African-American,Male,25 - 45
8350,0.7,1,African-American,Male,Less than 25
10379,0.7,1,African-American,Male,25 - 45
1522,0.7,0,African-American,Male,Less than 25
3268,0.7,1,Caucasian,Male,25 - 45
2800,0.7,0,African-American,Male,Less than 25
10930,0.7,1,African-American,Male,25 - 45
9948,0.7,0,African-American,Male,25 - 45
2805,0.7,0,African-American,Male,Greater than 45
1496,0.7,1,African-American,Male,Less than 25
1160,0.7,0,African-American,Female,Less than 25
9653,0.7,0,Caucasian,Male,Less than 25
3997,0.7,1,African-American,Male,25 - 45
10542,0.7,1,Caucasian,Male,25 - 45
4012,0.7,0,African-American,Male,Less than 25
9780,0.7,1,African-American,Female,25 - 45
7955,0.7,1,African-American,Male,Less than 25
5861,0.7,1,Caucasian,Female,25 - 45
10303,0.7,1,Hispanic,Male,Less than 25
8266,0.7,0,African-American,Male,25 - 45
1304,0.7,0,African-American,Male,25 - 45
2922,0.7,0,African-American,Male,Greater than 45
5878,0.7,1,Other,Female,25 - 45
5857,0.7,0,African-American,Male,Less than 25
8258,0.7,1,African-American,Male,25 - 45
8257,0.7,0,African-American,Male,25 - 45
640,0.7,1,African-American,Male,Less than 25
5395,0.7,1,African-American,Male,25 - 45
8248,0.7,1,Caucasian,Male,25 - 45
3222,0.7,0,African-American,Male,25 - 45
3984,0.7,0,Caucasian,Male,25 - 45
1460,0.7,1,Hispanic,Female,Less than 25
4016,0.7,0,Caucasian,Male,25 - 45
2900,0.7,0,African-American,Male,Less than 25
1125,0.7,1,African-American,Male,25 - 45
4041,0.7,0,African-American,Male,25 - 45
3242,0.7,0,African-American,Male,Less than 25
3240,0.7,0,African-American,Female,25 - 45
1485,0.7,1,African-American,Male,Less than 25
740,0.7,1,Asian,Male,Greater than 45
2868,0.7,0,Caucasian,Male,Less than 25
2870,0.7,1,African-American,Male,Less than 25
1482,0.7,0,African-American,Female,Less than 25
7413,0.7,1,African-American,Male,Less than 25
8287,0.7,1,Caucasian,Female,Less than 25
9633,0.7,0,Hispanic,Male,25 - 45
3722,0.7,1,African-American,Male,Less than 25
2886,0.7,1,African-American,Male,25 - 45
1467,0.7,1,African-American,Male,25 - 45
2890,0.7,1,African-American,Female,Greater than 45
4022,0.7,0,Caucasian,Female,Less than 25
2897,0.7,1,Caucasian,Male,25 - 45
9495,0.7,1,Hispanic,Male,Less than 25
3340,0.7,1,African-American,Male,25 - 45
4357,0.7,1,African-American,Male,25 - 45
4755,0.7,1,African-American,Male,25 - 45
6467,0.7,0,African-American,Male,25 - 45
4773,0.7,0,African-American,Male,Less than 25
9332,0.7,0,African-American,Male,Less than 25
6470,0.7,1,African-American,Female,Less than 25
7560,0.7,1,Caucasian,Male,25 - 45
7717,0.7,1,African-American,Male,25 - 45
2155,0.7,0,Caucasian,Male,Greater than 45
1798,0.7,1,African-American,Male,25 - 45
3550,0.7,1,African-American,Male,25 - 45
4743,0.7,0,Hispanic,Male,25 - 45
6502,0.7,1,African-American,Male,25 - 45
145,0.7,0,Caucasian,Female,Less than 25
8957,0.7,1,African-American,Male,Less than 25
143,0.7,0,African-American,Male,Greater than 45
235,0.7,1,Other,Male,Greater than 45
8946,0.7,0,African-American,Male,25 - 45
2171,0.7,0,African-American,Male,Less than 25
8945,0.7,0,African-American,Male,Less than 25
5078,0.7,0,African-American,Male,25 - 45
8989,0.7,1,African-American,Male,Less than 25
10864,0.7,1,African-American,Male,Less than 25
3441,0.7,1,Caucasian,Male,Greater than 45
7704,0.7,0,African-American,Male,25 - 45
9031,0.7,1,African-American,Male,25 - 45
5053,0.7,1,African-American,Male,Less than 25
4809,0.7,1,Caucasian,Female,25 - 45
2107,0.7,1,African-American,Male,Less than 25
2108,0.7,0,Hispanic,Male,Less than 25
4805,0.7,1,African-American,Male,25 - 45
1827,0.7,0,African-American,Male,25 - 45
3448,0.7,1,African-American,Female,25 - 45
5591,0.7,1,African-American,Male,25 - 45
4794,0.7,1,African-American,Male,25 - 45
4789,0.7,1,African-American,Male,25 - 45
2127,0.7,1,African-American,Male,25 - 45
5668,0.7,0,African-American,Male,25 - 45
5068,0.7,0,Caucasian,Male,25 - 45
1025,0.7,1,African-American,Male,25 - 45
10059,0.7,0,African-American,Female,25 - 45
4747,0.7,0,African-American,Male,25 - 45
4735,0.7,0,African-American,Male,Less than 25
258,0.7,0,African-American,Female,25 - 45
2237,0.7,0,African-American,Male,Less than 25
1043,0.7,0,African-American,Male,25 - 45
137,0.7,1,African-American,Male,25 - 45
7741,0.7,1,African-American,Male,Less than 25
6908,0.7,1,African-American,Male,25 - 45
926,0.7,1,African-American,Male,25 - 45
1227,0.7,0,Hispanic,Male,25 - 45
2235,0.7,0,Caucasian,Male,25 - 45
7745,0.7,0,Caucasian,Male,25 - 45
2239,0.7,0,Caucasian,Female,25 - 45
10793,0.7,1,Caucasian,Female,Greater than 45
6594,0.7,0,African-American,Male,Less than 25
7747,0.7,0,Hispanic,Male,25 - 45
132,0.7,1,African-American,Male,Less than 25
5583,0.7,1,African-American,Male,25 - 45
921,0.7,0,African-American,Male,25 - 45
7752,0.7,1,Caucasian,Male,25 - 45
5132,0.7,0,African-American,Male,25 - 45
1755,0.7,0,African-American,Female,Less than 25
6583,0.7,0,African-American,Male,25 - 45
8894,0.7,0,African-American,Male,25 - 45
5116,0.7,1,African-American,Male,25 - 45
1777,0.7,0,African-American,Female,Less than 25
6172,0.7,1,Caucasian,Male,25 - 45
3563,0.7,1,African-American,Male,Greater than 45
3564,0.7,1,African-American,Male,25 - 45
5112,0.7,1,African-American,Male,25 - 45
10787,0.7,0,African-American,Female,Greater than 45
6534,0.7,0,African-American,Female,25 - 45
10766,0.7,1,African-American,Male,25 - 45
5114,0.7,1,Caucasian,Male,Greater than 45
1221,0.7,0,Other,Male,25 - 45
2206,0.7,0,African-American,Male,25 - 45
3568,0.7,0,Caucasian,Male,25 - 45
2208,0.7,1,African-American,Male,25 - 45
5584,0.7,0,African-American,Male,Greater than 45
2211,0.7,1,African-American,Male,Less than 25
244,0.7,1,Caucasian,Female,25 - 45
6563,0.7,1,Caucasian,Male,25 - 45
245,0.7,0,African-American,Male,25 - 45
9862,0.7,0,Hispanic,Male,25 - 45
9044,0.7,1,African-American,Male,Less than 25
6433,0.7,1,Caucasian,Female,25 - 45
7670,0.7,1,African-American,Male,25 - 45
991,0.7,0,African-American,Male,Less than 25
1195,0.7,0,African-American,Female,25 - 45
3484,0.7,1,African-American,Male,Greater than 45
4929,0.7,0,African-American,Male,Greater than 45
9155,0.7,1,Caucasian,Male,Less than 25
4927,0.7,1,African-American,Female,25 - 45
6280,0.7,0,African-American,Male,25 - 45
6344,0.7,0,Caucasian,Male,25 - 45
6361,0.7,0,African-American,Male,Less than 25
960,0.7,1,Caucasian,Male,25 - 45
9248,0.7,0,African-American,Male,Greater than 45
9253,0.7,0,Caucasian,Male,25 - 45
565,0.7,1,Caucasian,Male,25 - 45
6367,0.7,1,African-American,Male,25 - 45
1993,0.7,1,Caucasian,Male,25 - 45
7675,0.7,1,Caucasian,Male,Less than 25
9119,0.7,1,African-American,Male,25 - 45
9115,0.7,1,Caucasian,Male,Greater than 45
4977,0.7,1,Caucasian,Male,25 - 45
10042,0.7,1,African-American,Male,25 - 45
9881,0.7,1,Caucasian,Female,Greater than 45
7640,0.7,1,Caucasian,Male,25 - 45
9203,0.7,0,Hispanic,Male,25 - 45
7642,0.7,0,African-American,Male,Greater than 45
1193,0.7,0,Caucasian,Male,Greater than 45
1002,0.7,0,African-American,Male,Less than 25
7653,0.7,1,African-American,Male,Less than 25
3492,0.7,0,African-American,Male,Less than 25
9219,0.7,0,African-American,Male,25 - 45
6324,0.7,0,Hispanic,Male,Less than 25
9221,0.7,1,Caucasian,Male,Less than 25
998,0.7,1,African-American,Male,25 - 45
9182,0.7,1,African-American,Female,25 - 45
9180,0.7,0,African-American,Male,Less than 25
3512,0.7,1,African-American,Male,25 - 45
1897,0.7,1,Caucasian,Male,Less than 25
6297,0.7,0,Caucasian,Female,25 - 45
9172,0.7,0,African-American,Male,Less than 25
4971,0.7,1,African-American,Male,Less than 25
6377,0.7,1,Caucasian,Male,25 - 45
6256,0.7,1,African-American,Male,25 - 45
2020,0.7,0,Hispanic,Male,25 - 45
9074,0.7,0,African-American,Male,25 - 45
9072,0.7,1,African-American,Male,25 - 45
9070,0.7,0,Caucasian,Male,Greater than 45
7602,0.7,1,African-American,Male,25 - 45
9279,0.7,0,Caucasian,Female,25 - 45
5020,0.7,0,African-American,Male,25 - 45
9282,0.7,0,African-American,Female,Less than 25
9287,0.7,1,African-American,Male,Less than 25
7693,0.7,1,African-American,Male,Less than 25
1852,0.7,1,African-American,Male,25 - 45
6234,0.7,0,African-American,Female,Greater than 45
6227,0.7,1,African-American,Female,Less than 25
5042,0.7,1,African-American,Male,Greater than 45
2077,0.7,0,African-American,Male,25 - 45
5046,0.7,0,African-American,Female,Less than 25
1018,0.7,0,African-American,Male,25 - 45
4840,0.7,1,Hispanic,Male,25 - 45
9054,0.7,1,African-American,Male,25 - 45
210,0.7,1,African-American,Male,25 - 45
2058,0.7,1,African-American,Male,Less than 25
9112,0.7,1,Caucasian,Male,25 - 45
10849,0.7,1,African-American,Male,25 - 45
6378,0.7,1,African-American,Male,25 - 45
7611,0.7,1,Caucasian,Male,Greater than 45
2027,0.7,1,African-American,Male,25 - 45
9261,0.7,1,African-American,Male,25 - 45
6380,0.7,0,African-American,Male,25 - 45
7678,0.7,1,African-American,Male,25 - 45
10996,0.7,0,African-American,Male,Less than 25
6389,0.7,1,Caucasian,Female,25 - 45
580,0.7,0,Caucasian,Male,Less than 25
6247,0.7,1,African-American,Male,25 - 45
7683,0.7,1,African-American,Female,Less than 25
10055,0.7,0,African-American,Male,25 - 45
9083,0.7,1,African-American,Male,Greater than 45
2051,0.7,1,Caucasian,Male,25 - 45
9885,0.7,0,African-American,Female,Less than 25
2053,0.7,0,African-American,Male,Less than 25
9077,0.7,0,Caucasian,Male,Less than 25
914,0.7,1,African-American,Male,25 - 45
5118,0.7,1,Native American,Male,25 - 45
2268,0.7,0,Caucasian,Female,25 - 45
4466,0.7,1,African-American,Female,25 - 45
4483,0.7,1,African-American,Male,25 - 45
4481,0.7,0,African-American,Male,Greater than 45
9436,0.7,1,African-American,Male,25 - 45
9438,0.7,0,African-American,Male,Greater than 45
10406,0.7,0,African-American,Male,25 - 45
6760,0.7,0,African-American,Male,25 - 45
1673,0.7,1,Caucasian,Male,25 - 45
2453,0.7,1,Caucasian,Female,Greater than 45
6771,0.7,0,African-American,Male,Greater than 45
8686,0.7,0,Caucasian,Female,Less than 25
6778,0.7,0,African-American,Male,Less than 25
5203,0.7,1,African-American,Male,Less than 25
10169,0.7,1,Caucasian,Male,25 - 45
2465,0.7,0,African-American,Male,25 - 45
10673,0.7,1,African-American,Female,25 - 45
2474,0.7,1,African-American,Male,Greater than 45
8651,0.7,1,African-American,Male,25 - 45
2479,0.7,1,African-American,Male,25 - 45
5188,0.7,1,African-American,Male,25 - 45
8688,0.7,0,Caucasian,Female,25 - 45
8744,0.7,1,African-American,Male,Less than 25
3616,0.7,1,African-American,Male,Greater than 45
4514,0.7,0,African-American,Male,Greater than 45
6719,0.7,1,African-American,Male,25 - 45
10457,0.7,1,African-American,Male,25 - 45
4509,0.7,1,African-American,Male,Less than 25
9407,0.7,0,African-American,Male,25 - 45
3375,0.7,1,Hispanic,Male,Greater than 45
2402,0.7,1,African-American,Male,Greater than 45
5676,0.7,0,Caucasian,Female,Less than 25
6103,0.7,1,African-American,Male,Less than 25
1683,0.7,1,African-American,Female,25 - 45
10984,0.7,1,African-American,Female,Less than 25
4498,0.7,1,Caucasian,Male,25 - 45
10148,0.7,1,African-American,Male,25 - 45
605,0.7,0,African-American,Male,25 - 45
872,0.7,0,African-American,Male,25 - 45
